SB_DEPTH_pxl,SB_DEPTH_cm,CT,CT_std
219,2.2068910109264532,852.3446703958958,315.1641894248711
220,2.216968138830227,852.5185585808326,317.6668702552053
221,2.2270452667340006,852.6924467657694,320.1695510855396
222,2.2371223946377743,852.8663349507062,322.6722319158738
223,2.2471995225415484,853.040223135643,325.174912746208
224,2.257276650445322,853.2141113205798,327.6775935765422
225,2.267353778349096,853.3879995055166,330.1802744068765
226,2.2774309062528695,853.7231665481967,332.5498695027436
227,2.287508034156643,854.0961847513676,334.88823019154194
228,2.297585162060417,854.4692029545384,337.22659088034027
229,2.307662289964191,854.8422211577093,339.5649515691386
230,2.3177394178679647,855.2152393608802,341.90331225793693
231,2.3278165457717384,855.5882575640511,344.24167294673526
232,2.337893673675512,856.375833153053,344.4277249139285
233,2.3479708015792857,857.4962900866377,342.88551573877317
234,2.3580479294830594,858.6167470202223,341.3433065636179
235,2.3681250573868335,859.7372039538071,339.80109738846255
236,2.3782021852906072,860.8576608873918,338.2588882133072
237,2.388279313194381,861.9781178209764,336.71667903815194
238,2.3983564410981546,862.63763894469,335.2569179162104
239,2.4084335690019283,862.2183440471408,333.99012570409127
240,2.418510696905702,861.7990491495915,332.7233334919721
241,2.428587824809476,861.3797542520423,331.4565412798529
242,2.43866495271325,860.9604593544931,330.18974906773377
243,2.4487420806170235,860.5411644569439,328.9229568556146
244,2.458819208520797,860.2173666697572,327.71931416513877
245,2.468896336424571,861.9646624635576,327.88522672530246
246,2.4789734643283445,863.7119582573581,328.05113928546615
247,2.4890505922321187,865.4592540511585,328.21705184562984
248,2.4991277201358923,867.2065498449589,328.38296440579353
