SB_DEPTH_cm,SB_DEPTH_pxl,CT,CT_std
278.0,27587.225,1136.9233,57.45581
278.5,27636.842,1122.3262,84.93497
279.0,27686.46,1212.7861,247.30557
279.5,27736.078,1343.8857,604.5427
280.0,27785.693,1131.3903,59.4909
280.5,27835.312,1105.9972,61.64163
281.0,27884.93,1097.7693,90.62225
281.5,27934.547,1082.5935,102.33034
282.0,27984.164,1117.6106,119.51565
282.5,28033.781,1129.3972,140.77966
283.0,28083.398,1153.8679,142.15231
283.5,28133.016,1117.4705,58.296005
284.0,28182.633,1082.7352,33.78861
284.5,28232.252,1082.0052,47.85339
285.0,28281.867,1091.1282,99.31231
285.5,28331.484,1172.0391,285.28564
286.0,28381.104,1235.509,305.3623
286.5,28430.719,1131.8298,94.5472
287.0,28480.336,1205.3762,392.6406
287.5,28529.955,1184.3248,195.2994
288.0,28579.572,1180.1047,182.27779
288.5,28629.188,1273.689,577.6305
289.0,28678.807,1099.1553,162.99388
289.5,28728.424,,
290.0,28778.043,1229.9105,477.61612
290.5,28827.658,1345.5631,580.07654
291.0,28877.275,1410.499,504.93488
291.5,28926.895,1377.9895,482.753
292.0,28976.51,1189.7336,221.5419
292.5,29026.127,1161.3436,230.30063
293.0,29075.746,1223.6976,189.91011
293.5,29125.363,1201.3517,94.09369
294.0,29174.979,1200.092,140.76642
294.5,29224.598,1219.4875,153.38899
295.0,29274.215,1253.7002,222.7718
295.5,29323.83,1889.8145,898.03876
296.0,29373.45,1766.8438,796.43384
296.5,29423.066,1389.0146,560.83527
297.0,29472.684,1173.3285,137.69072
297.5,29522.3,670.0716,693.1299
298.0,29571.918,1126.91,302.40073
298.5,29621.537,1121.4796,292.76477
299.0,29671.152,1186.6431,258.2125
299.5,29720.77,1145.0258,257.10635
300.0,29770.389,1132.558,399.29388
300.5,29820.006,1124.0315,341.68372
301.0,29869.621,1249.6174,295.5223
301.5,29919.24,1146.3104,96.58575
302.0,29968.857,1136.4954,183.48524
302.5,30018.473,1187.6178,105.27536
303.0,30068.092,1140.664,64.69908
303.5,30117.709,1272.1263,318.35965
304.0,30167.326,1268.4451,378.58456
304.5,30216.943,1157.9597,50.871273
305.0,30266.56,1141.9294,34.938385
305.5,30316.178,1151.4501,49.805733
306.0,30365.795,1110.7208,38.947884
306.5,30415.412,1115.3221,36.31678
307.0,30465.031,1114.7438,32.62717
307.5,30514.646,1093.7139,43.29119
308.0,30564.264,1110.3226,47.80739
308.5,30613.88,1106.9558,31.586498
309.0,30663.5,1108.6545,33.608265
309.5,30713.115,1116.6622,78.74127
310.0,30762.732,1114.5397,85.27484
310.5,30812.352,1119.069,87.05625
311.0,30861.967,1111.2194,55.54221
311.5,30911.584,1109.3958,90.81232
312.0,30961.203,1130.3995,54.84334
312.5,31010.82,1275.7958,333.39905
313.0,31060.436,1103.2649,91.59921
313.5,31110.055,1075.7971,81.12234
314.0,31159.672,1043.1356,230.78899
314.5,31209.29,1018.54895,252.71535
315.0,31258.906,630.79504,595.2949
315.5,31308.523,1103.9332,57.5762
316.0,31358.143,1110.8055,94.30933
316.5,31407.758,1070.5348,45.494583
317.0,31457.375,1062.2911,33.01834
317.5,31506.994,1067.9486,43.608116
318.0,31556.61,1067.9095,39.105537
318.5,31606.227,1099.1583,30.442247
319.0,31655.846,1099.6205,46.07666
319.5,31705.463,1107.3848,31.134075
320.0,31755.078,1128.1044,44.50638
320.5,31804.697,940.118,398.97656
321.0,31854.314,866.4576,478.98718
321.5,31903.93,1145.3331,47.668835
322.0,31953.549,1133.2345,45.614635
322.5,32003.166,1133.5864,36.80577
323.0,32052.785,1127.9683,70.546036
323.5,32102.4,1106.5448,84.192795
324.0,32152.018,1102.6863,104.62526
324.5,32201.637,1093.0317,134.16042
325.0,32251.252,1085.331,128.8322
325.5,32300.87,1101.3486,108.445625
326.0,32350.488,1105.5071,74.13756
326.5,32400.105,1125.8098,76.422745
327.0,32449.72,1110.7284,102.41096
327.5,32499.34,1100.4415,157.35606
328.0,32548.957,1121.2789,61.607887
328.5,32598.574,1154.1559,179.15512
329.0,32648.191,1129.085,36.63486
329.5,32697.809,1124.7394,46.76756
330.0,32747.426,1072.378,258.3683
330.5,32797.043,1081.3794,267.46967
331.0,32846.66,1123.2455,244.76747
331.5,32896.277,1010.1267,333.89572
332.0,32945.895,1174.2507,197.4791
332.5,32995.51,1217.6298,223.63661
333.0,33045.13,1223.1405,225.53958
333.5,33094.75,1183.3612,177.81157
334.0,33144.363,1201.3811,164.25873
334.5,33193.98,1205.5475,189.05933
335.0,33243.6,1061.3285,163.08745
335.5,33293.215,935.6243,320.12656
336.0,33342.832,1043.9827,68.88319
336.5,33392.453,1090.2645,66.42624
337.0,33442.07,1217.1887,99.16739
337.5,33491.684,1240.8702,113.61948
338.0,33541.305,1237.9587,116.68133
338.5,33590.92,1207.2697,81.879555
339.0,33640.54,1118.08,90.28732
339.5,33690.156,1045.7086,245.81152
340.0,33739.773,987.4634,369.37442
340.5,33789.39,1146.6497,133.47461
341.0,33839.008,1142.3981,116.19936
341.5,33888.625,1126.0134,149.39368
342.0,33938.242,1246.9717,140.22006
342.5,33987.86,1243.3986,195.93802
343.0,34037.477,1166.8279,208.49759
343.5,34087.094,1161.8141,196.25842
344.0,34136.71,1080.1511,160.96896
